id,name,category,price,rating,in_stock
1,Wireless Headphones,Electronics,79.99,4.5,true
2,Yoga Mat,Sports,25.00,4.2,true
3,Coffee Maker,Kitchen,49.99,4.7,false
4,Running Shoes,Sports,89.99,4.3,true
5,Desk Lamp,Office,19.99,4.0,true
6,Blender,Kitchen,39.99,4.6,true
7,Notebook Set,Office,12.50,4.1,true
8,Bluetooth Speaker,Electronics,59.99,4.4,false
9,Water Bottle,Sports,15.00,4.8,true
10,Phone Stand,Office,9.99,3.9,true
11,Air Purifier,Home,129.99,4.5,true
12,Gaming Mouse,Electronics,45.00,4.3,true
13,Resistance Bands,Sports,18.00,4.2,true
14,Toaster,Kitchen,29.99,4.0,false
15,Desk Organiser,Office,22.00,3.8,true
